race,state,year,office,seat,stname,fips,region,division,pollster,cosponsor1,cosponsor2,n,pop,method,party,end.date,vote.dem,vote.rep,vote.oth,vote.dk,real.dem,real.rep,real.oth,turnout,dem,rep,poll.candidates
AR:2012:House:1,AR,2012,House,1,Arkansas,,,,"Hendrix College ","Talk Business",,563,Likely.Voters,Phone,NonPartisan,2012-09-17,28.0,53.0,3.0,16.0,39.1,56.2,4.7,246843,Ellington,Crawford,2
AR:2012:House:2,AR,2012,House,2,Arkansas,,,,"Hendrix College ","Talk Business",,563,Likely.Voters,Phone,NonPartisan,2012-09-17,29.0,49.0,7.0,16.0,39.5,55.2,5.3,286598,Rule,Griffin,2
AR:2012:House:4,AR,2012,House,4,Arkansas,,,,"Hendrix College ","Talk Business",,509,Likely.Voters,Phone,NonPartisan,2012-09-17,22.0,51.0,7.0,20.0,36.7,59.5,3.8,258953,Jeffress,Cotton,2
AZ:2012:House:1,AZ,2012,House,1,Arizona,,,,"NRCC (R)",,,501,Likely.Voters,Phone,NonPartisan,2012-10-04,45.0,50.0,,5.0,48.8,45.1,6.1,251595,Kirkpatrick,Paton,2
AZ:2012:House:1,AZ,2012,House,1,Arizona,,,,"North Star Opinion Research (R)","Jonathan Paton (R)",,400,Likely.Voters,Phone,Republican,2012-07-26,46.0,43.0,,12.0,48.8,45.1,6.1,251595,Kirkpatrick,Paton,2
AZ:2012:House:2,AZ,2012,House,2,Arizona,,,,"OnMessage (R-McSally)","Martha McSally",,400,Likely.Voters,Phone,Republican,2012-10-01,47.0,47.0,,5.0,50.4,49.6,0.0,292222,Barber,McSally,2
AZ:2012:House:2,AZ,2012,House,2,Arizona,,,,"Grove Insight (D-DCCC)","DCCC",,400,Likely.Voters,Phone,Democratic,2012-09-30,54.0,40.0,,6.0,50.4,49.6,0.0,292222,Barber,McSally,2
AZ:2012:House:2,AZ,2012,House,2,Arizona,,,,"OnMessage (R-McSally)","Martha McSally",,400,Likely.Voters,Phone,Republican,2012-08-08,50.0,45.0,,5.0,50.4,49.6,0.0,292222,Barber,McSally,2
AZ:2012:House:2,AZ,2012,House,2,Arizona,,,,"GQR (D-Barber)","Rob Barber (D)",,503,Likely.Voters,Phone,Democratic,2012-07-22,53.0,40.0,,,50.4,49.6,0.0,292222,Barber,McSally,2
AZ:2012:House:9,AZ,2012,House,9,Arizona,,,,"Summit (R-Parker)","Vernon Parker (R)",,600,Likely.Voters,Phone,Republican,2012-10-15,42.0,44.0,,14.0,48.7,44.6,6.7,250131,Sinema,Parker,2
AZ:2012:House:9,AZ,2012,House,9,Arizona,,,,"Anzalone-Liszt (D-DCCC)","DCCC",,400,Likely.Voters,Phone,Democratic,2012-09-11,48.0,45.0,,,48.7,44.6,6.7,250131,Sinema,Parker,2
AZ:2012:House:9,AZ,2012,House,9,Arizona,,,,"GBA Strategies (D-House Majority PAC/AFSCME/EMILY's List)","EMILY's List","House Majority PAC",400,Likely.Voters,Phone,Democratic,2012-09-10,45.0,41.0,,,48.7,44.6,6.7,250131,Sinema,Parker,2
CA:2012:House:3,CA,2012,House,3,California,,,,"GBA Strategies (D-House Majority PAC)","House Majority PAC",,400,Likely.Voters,Phone,Democratic,2012-08-27,54.0,39.0,,,54.2,45.8,0.0,233968,Garamendi,Vann,2
CA:2012:House:3,CA,2012,House,3,California,,,,"DCCC (D)",,,303,Likely.Voters,Phone,NonPartisan,2012-07-25,52.0,37.0,,11.0,54.2,45.8,0.0,233968,Garamendi,Vann,2
CA:2012:House:7,CA,2012,House,7,California,,,,"PPP (D-CREDO)","CREDO SuperPAC",,792,Likely.Voters,Phone,Democratic,2012-10-26,46.0,46.0,,8.0,51.7,48.3,0.0,273291,Bera,Lungren,2
CA:2012:House:7,CA,2012,House,7,California,,,,"Garin-Hart-Yang (D-House Majority PAC/SEIU)","House Majority PAC","Service Employees International Union",401,Likely.Voters,Phone,Democratic,2012-08-23,47.0,47.0,,6.0,51.7,48.3,0.0,273291,Bera,Lungren,2
CA:2012:House:9,CA,2012,House,9,California,,,,"Global Strategy Group (D-DCCC)","DCCC",,400,Likely.Voters,Phone,Democratic,2012-10-10,47.0,38.0,,,55.6,44.4,0.0,213077,McNerney,Gill,2
CA:2012:House:9,CA,2012,House,9,California,,,,"Tarrance (R-Gill)","David Gill",,409,Likely.Voters,Phone,Democratic,2012-10-02,45.0,46.0,,9.0,55.6,44.4,0.0,213077,McNerney,Gill,2
CA:2012:House:9,CA,2012,House,9,California,,,,"Tarrance (R-Gill)","David Gill",,402,Likely.Voters,Phone,Democratic,2012-07-26,47.0,45.0,,9.0,55.6,44.4,0.0,213077,McNerney,Gill,2
CA:2012:House:9,CA,2012,House,9,California,,,,"Lake Research Partners (D-McNerney)","Jerry McNerney (D)",,504,Likely.Voters,Phone,Democratic,2012-07-11,49.0,33.0,,,55.6,44.4,0.0,213077,McNerney,Gill,2
CA:2012:House:10,CA,2012,House,10,California,,,,"Momentum Analysis (D-Hernandez)","Jose Hernandez (D)",,500,Likely.Voters,Phone,Democratic,2012-10-01,43.0,45.0,,,47.3,52.7,0.0,209199,Hernandez,Denham,2
CA:2012:House:10,CA,2012,House,10,California,,,,"DCCC (D)",,,382,Likely.Voters,Phone,NonPartisan,2012-09-10,46.0,44.0,,11.0,47.3,52.7,0.0,209199,Hernandez,Denham,2
CA:2012:House:10,CA,2012,House,10,California,,,,"PPP (D-Democracy for America)","Democracy for America",,751,Likely.Voters,Phone,Democratic,2012-08-09,41.0,48.0,,12.0,47.3,52.7,0.0,209199,Hernandez,Denham,2
CA:2012:House:21,CA,2012,House,21,California,,,,"FMMMA (D-Hernandez)","John Hernandez",,400,Likely.Voters,Phone,Democratic,2012-10-15,37.0,41.0,,22.0,42.2,57.8,0.0,116283,Hernandez,Valadao,2
CA:2012:House:21,CA,2012,House,21,California,,,,"Moore (R-Valadao) ","David Valadao (R)",,400,Likely.Voters,Phone,Republican,2012-10-09,33.0,53.0,3.0,11.0,42.2,57.8,0.0,116283,Hernandez,Valadao,2
CA:2012:House:24,CA,2012,House,24,California,,,,"POS (R-Maldonado)","Abel Maldonado",,400,Likely.Voters,Phone,Republican,2012-10-03,44.0,45.0,,,55.1,44.9,0.0,284495,Capps,Maldonado,2
CA:2012:House:24,CA,2012,House,24,California,,,,"DCCC (D)",,,379,Likely.Voters,Phone,NonPartisan,2012-07-23,51.0,40.0,,9.0,55.1,44.9,0.0,284495,Capps,Maldonado,2
CA:2012:House:24,CA,2012,House,24,California,,,,"POS (R-Maldonado)","Abel Maldonado",,400,Likely.Voters,Phone,Republican,2012-06-28,48.0,46.0,,,55.1,44.9,0.0,284495,Capps,Maldonado,2
CA:2012:House:26,CA,2012,House,26,California,,,,"Tulchin Research (D-Brownley)","Julia Brownley (D)",,400,Likely.Voters,Phone,Democratic,2012-07-19,48.0,44.0,,,52.7,47.3,0.0,263935,Brownley,Strickland,2
CA:2012:House:41,CA,2012,House,41,California,,,,"EMC Research (D-Takano)","Mark Takano",,500,Likely.Voters,Phone,Democratic,2012-08-12,42.0,38.0,,,59.0,41.0,0.0,175652,Takano,Tavaglione,2
CA:2012:House:52,CA,2012,House,52,California,,,,"SurveyUSA/KGTV-TV","KGTV-TV (California)",,628,Likely.Voters,Mixed,NonPartisan,2012-10-30,46.0,46.0,,8.0,51.2,48.8,0.0,295910,Peters,Bilbray,2
CA:2012:House:52,CA,2012,House,52,California,,,,"Grove Insight (D-Peters)","Scott Peters (D)",,400,Likely.Voters,Phone,Democratic,2012-10-21,45.0,40.0,,15.0,51.2,48.8,0.0,295910,Peters,Bilbray,2
CA:2012:House:52,CA,2012,House,52,California,,,,"Glover Park Group/USD/U-T San Diego","University of San Diego","U-T San Diego",374,Likely.Voters,Phone,NonPartisan,2012-10-17,38.0,47.0,,13.0,51.2,48.8,0.0,295910,Peters,Bilbray,2
CA:2012:House:52,CA,2012,House,52,California,,,,"Grove Insight (D-Peters)","Scott Peters (D)",,400,Likely.Voters,Phone,Democratic,2012-07-18,40.0,40.0,,19.0,51.2,48.8,0.0,295910,Peters,Bilbray,2
CO:2012:House:3,CO,2012,House,3,Colorado,,,,"Grove Insight (D-DCCC)","DCCC",,400,Likely.Voters,Phone,Democratic,2012-09-27,39.0,42.0,5.0,13.0,41.1,53.4,5.5,347272,Pace,Tipton,2
CO:2012:House:3,CO,2012,House,3,Colorado,,,,"PPP (D-House Majority PAC)","House Majority PAC",,569,Registered.Voters,Phone,Democratic,2012-01-23,39.0,46.0,,,41.1,53.4,5.5,347272,Pace,Tipton,2
CO:2012:House:6,CO,2012,House,6,Colorado,,,,"DCCC (D)",,,350,Likely.Voters,Phone,NonPartisan,2012-09-13,39.0,42.0,,19.0,45.8,47.8,6.4,342914,Miklosi,Coffman,2
CO:2012:House:7,CO,2012,House,7,Colorado,,,,"OnMessage (R-Coors)","Joe Coors (R)",,400,Likely.Voters,Phone,Republican,2012-07-17,36.0,45.0,5.0,14.0,53.5,40.8,5.7,340970,Perlmutter,Coors,2
CT:2012:House:5,CT,2012,House,5,Connecticut,,,,"Garin-Hart-Yang (D-Esty)","Elizabeth Esty (D)",,400,Likely.Voters,Phone,Democratic,2012-10-22,46.0,42.0,,12.0,51.3,48.7,0.0,284735,Esty,Roraback,2
CT:2012:House:5,CT,2012,House,5,Connecticut,,,,"American Viewpoint (R-American Action Network)","American Action Network",,400,Likely.Voters,Phone,Republican,2012-09-27,35.0,42.0,,,51.3,48.7,0.0,284735,Esty,Roraback,2
CT:2012:House:5,CT,2012,House,5,Connecticut,,,,"National Research (R-Roraback)","NRCC","Andrew Roraback (R)",400,Likely.Voters,Phone,Republican,2012-09-04,35.0,42.0,,21.0,51.3,48.7,0.0,284735,Esty,Roraback,2
CT:2012:House:5,CT,2012,House,5,Connecticut,,,,"Global Strategy (D-DCCC)","DCCC",,402,Likely.Voters,Phone,Democratic,2012-08-23,44.0,35.0,,,51.3,48.7,0.0,284735,Esty,Roraback,2
FL:2012:House:2,FL,2012,House,2,Florida,,,,"StPetePolls.org",,,450,Likely.Voters,Phone,NonPartisan,2012-10-05,47.0,46.0,,8.0,47.3,52.7,0.0,333490,Lawson,Southerland,2
FL:2012:House:2,FL,2012,House,2,Florida,,,,"Lester (D-DCCC)","DCCC",,401,Likely.Voters,Phone,Democratic,2012-09-17,43.0,43.0,,,47.3,52.7,0.0,333490,Lawson,Southerland,2
FL:2012:House:3,FL,2012,House,3,Florida,,,,"StPetePolls.org",,,668,Likely.Voters,Phone,NonPartisan,2012-09-03,31.0,56.0,,13.0,32.5,64.7,2.8,315669,Gaillot,Yoho,2
FL:2012:House:9,FL,2012,House,9,Florida,,,,"Gravis Marketing (Grayson)","Alan Grayson (D)",,487,Likely.Voters,Phone,Democratic,2012-10-12,56.0,41.0,,,62.5,37.5,0.0,263747,Grayson,Long,2
FL:2012:House:9,FL,2012,House,9,Florida,,,,"StPetePolls.org",,,363,Likely.Voters,Phone,NonPartisan,2012-10-05,45.0,42.0,,13.0,62.5,37.5,0.0,263747,Grayson,Long,2
FL:2012:House:9,FL,2012,House,9,Florida,,,,"Kitchens (D-Grayson) ","Alan Grayson (D)",,507,Likely.Voters,Phone,Democratic,2012-09-21,48.0,34.0,,19.0,62.5,37.5,0.0,263747,Grayson,Long,2
FL:2012:House:9,FL,2012,House,9,Florida,,,,"StPetePolls.org",,,629,Likely.Voters,Phone,NonPartisan,2012-09-03,46.0,41.0,,13.0,62.5,37.5,0.0,263747,Grayson,Long,2
FL:2012:House:10,FL,2012,House,10,Florida,,,,"Global Strategy Group (D-DCCC)","DCCC",,401,Likely.Voters,Phone,Democratic,2012-10-14,41.0,43.0,,,48.3,51.7,0.0,318223,Demings,Webster,2
FL:2012:House:10,FL,2012,House,10,Florida,,,,"StPetePolls.org",,,498,Likely.Voters,Phone,NonPartisan,2012-10-05,40.0,51.0,,9.0,48.3,51.7,0.0,318223,Demings,Webster,2
FL:2012:House:10,FL,2012,House,10,Florida,,,,"Global Strategy Group (D-DCCC)","DCCC",,402,Likely.Voters,Phone,Democratic,2012-09-25,41.0,46.0,,,48.3,51.7,0.0,318223,Demings,Webster,2
FL:2012:House:12,FL,2012,House,12,Florida,,,,"StPetePolls.org",,,2479,Likely.Voters,Phone,NonPartisan,2012-09-03,27.0,57.0,4.0,12.0,32.9,63.5,3.6,330167,Snow,Bilirakis,2
FL:2012:House:13,FL,2012,House,13,Florida,,,,"StPetePolls.org",,,533,Likely.Voters,Phone,NonPartisan,2012-10-05,40.0,49.0,,12.0,42.4,57.6,0.0,329347,Ehrlich,Young,2
FL:2012:House:13,FL,2012,House,13,Florida,,,,"StPetePolls.org",,,1691,Likely.Voters,Phone,NonPartisan,2012-09-03,39.0,50.0,,11.0,42.4,57.6,0.0,329347,Ehrlich,Young,2
FL:2012:House:13,FL,2012,House,13,Florida,,,,"DCCC (D)",,,800,Likely.Voters,Phone,NonPartisan,2012-07-18,35.0,49.0,,16.0,42.4,57.6,0.0,329347,Ehrlich,Young,2
FL:2012:House:14,FL,2012,House,14,Florida,,,,"StPetePolls.org",,,1459,Likely.Voters,Phone,NonPartisan,2012-09-03,59.0,32.0,,9.0,70.2,29.8,0.0,280601,Castor,Otero,2
FL:2012:House:16,FL,2012,House,16,Florida,,,,"StPetePolls.org",,,494,Likely.Voters,Phone,NonPartisan,2012-10-05,38.0,55.0,,7.0,46.4,53.6,0.0,349076,Fitzgerald,Buchanan,2
FL:2012:House:16,FL,2012,House,16,Florida,,,,"StPetePolls.org",,,897,Likely.Voters,Phone,NonPartisan,2012-09-03,37.0,56.0,,7.0,46.4,53.6,0.0,349076,Fitzgerald,Buchanan,2
FL:2012:House:16,FL,2012,House,16,Florida,,,,"POS (R-Buchanan)","Vern Buchanan",,500,Likely.Voters,Phone,Republican,2012-07-16,32.0,54.0,,,46.4,53.6,0.0,349076,Fitzgerald,Buchanan,2
FL:2012:House:16,FL,2012,House,16,Florida,,,,"POS (R-Buchanan)","Vern Buchanan",,400,Likely.Voters,Phone,Republican,2012-03-21,36.0,58.0,,6.0,46.4,53.6,0.0,349076,Fitzgerald,Buchanan,2
FL:2012:House:16,FL,2012,House,16,Florida,,,,"SEA Polling (D-Fitzgerald)","Keith Fitzgerald",,400,Likely.Voters,Phone,Democratic,2012-02-18,38.0,49.0,,13.0,46.4,53.6,0.0,349076,Fitzgerald,Buchanan,2
FL:2012:House:18,FL,2012,House,18,Florida,,,,"PPP (D-CREDO)","CREDO SuperPAC",,631,Likely.Voters,Phone,Democratic,2012-10-26,48.0,47.0,,5.0,50.3,49.7,0.0,330610,Murphy,West,2
FL:2012:House:18,FL,2012,House,18,Florida,,,,"Frederick Polls (D-Murphy)","Patrick Murphy",,333,Likely.Voters,Phone,Democratic,2012-10-17,47.0,47.0,,6.0,50.3,49.7,0.0,330610,Murphy,West,2
FL:2012:House:18,FL,2012,House,18,Florida,,,,"Sunshine State News/VSS","Sunshine State News",,752,Likely.Voters,Phone,NonPartisan,2012-10-17,48.0,49.0,,3.0,50.3,49.7,0.0,330610,Murphy,West,2
